symbol,name,sector
RELIANCE,Reliance Industries,Energy
TCS,Tata Consultancy Services,IT
HDFCBANK,HDFC Bank,Banking
ICICIBANK,ICICI Bank,Banking
INFY,Infosys,IT
HINDUNILVR,Hindustan Unilever,FMCG
ITC,ITC,FMCG
SBIN,State Bank of India,Banking
BHARTIARTL,Bharti Airtel,Telecom
KOTAKBANK,Kotak Mahindra Bank,Banking
LT,Larsen & Toubro,Capital Goods
AXISBANK,Axis Bank,Banking
BAJFINANCE,Bajaj Finance,Financial Services
ASIANPAINT,Asian Paints,Consumer
MARUTI,Maruti Suzuki India,Auto
HCLTECH,HCL Technologies,IT
SUNPHARMA,Sun Pharmaceutical Industries,Pharma
TITAN,Titan Company,Consumer
WIPRO,Wipro,IT
ULTRACEMCO,UltraTech Cement,Cement
NESTLEIND,Nestle India,FMCG
ONGC,Oil & Natural Gas Corporation,Energy
NTPC,NTPC,Power
POWERGRID,Power Grid Corporation,Power
M&M,Mahindra & Mahindra,Auto
TATAMOTORS,Tata Motors,Auto
TATASTEEL,Tata Steel,Metals
JSWSTEEL,JSW Steel,Metals
ADANIENT,Adani Enterprises,Conglomerate
COALINDIA,Coal India,Energy
BAJAJFINSV,Bajaj Finserv,Financial Services
HDFCLIFE,HDFC Life Insurance,Insurance
TECHM,Tech Mahindra,IT
GRASIM,Grasim Industries,Cement
DRREDDY,Dr Reddys Laboratories,Pharma
CIPLA,Cipla,Pharma
BPCL,Bharat Petroleum Corporation,Energy
BRITANNIA,Britannia Industries,FMCG
EICHERMOT,Eicher Motors,Auto
HEROMOTOCO,Hero MotoCorp,Auto
HINDALCO,Hindalco Industries,Metals
INDUSINDBK,IndusInd Bank,Banking
APOLLOHOSP,Apollo Hospitals Enterprise,Healthcare
BAJAJ-AUTO,Bajaj Auto,Auto
TATACONSUM,Tata Consumer Products,FMCG
SBILIFE,SBI Life Insurance,Insurance
ADANIPORTS,Adani Ports and SEZ,Infrastructure
LTIM,LTIMindtree,IT
SHRIRAMFIN,Shriram Finance,Financial Services
JIOFIN,Jio Financial Services,Financial Services
